VE_FORMS,PEDS,COUNTY,MONTH,DAY_WEEK,ROUTE,MAN_COLL,drunk_dr,light_cond,SPEEDREL,VSPD_LIM,age_dr1,sex_dr1
1,1,149,April,Wednesday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,25,27,Male
1,1,163,April,Monday,Local Street,Not Col. Moving,No,Daylight,No/unknown,45,53,Male
1,0,163,April,Wednesday,Interstate,Not Col. Moving,Yes,Not Daylight,Yes,55,21,Female
1,0,161,April,Wednesday,County Road,Not Col. Moving,No,Daylight,Yes,55,21,Male
2,0,115,April,Friday,County Road,Angle,No,Daylight,No/unknown,,20,Male
2,0,125,April,Tuesday,State Highway,Front-to-Front,No,Daylight,No/unknown,50,80,Female
1,0,125,April,Monday,Local Street,Not Col. Moving,No,Not Daylight,Yes,15,50,Male
2,0,149,April,Thursday,Local Street,Angle,No,Daylight,No/unknown,45,61,Male
2,0,81,April,Saturday,County Road,Angle,Yes,Not Daylight,No/unknown,,45,Female
2,0,15,April,Tuesday,State Highway,Angle,No,Daylight,No/unknown,55,83,Female
4,0,115,April,Wednesday,Interstate,Sideswipe,No,Daylight,No/unknown,70,43,Male
1,1,163,April,Monday,U.S. Highway,Not Col. Moving,No,Not Daylight,No/unknown,45,60,Male
2,0,7,April,Monday,U.S. Highway,Angle,No,Daylight,No/unknown,40,81,Male
3,0,99,April,Thursday,Local Street,Not Col. Moving,No,Daylight,No/unknown,45,20,Male
1,1,163,March,Monday,Local Street,Not Col. Moving,No,Daylight,No/unknown,30,,Unknown
1,0,163,March,Monday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,30,16,Male
1,0,163,March,Sunday,State Highway,Not Col. Moving,Yes,Not Daylight,Yes,40,39,Male
2,0,163,March,Friday,Local Street,Sideswipe,No,Daylight,No/unknown,35,66,Male
1,2,163,March,Friday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,30,34,Male
3,0,75,April,Wednesday,State Highway,Front-to-Rear,Yes,Not Daylight,Yes,55,42,Female
1,0,163,April,Saturday,Local Street,Not Col. Moving,No,Not Daylight,No/unknown,25,33,Male
1,0,107,May,Sunday,State Highway,Not Col. Moving,Yes,Not Daylight,Yes,55,22,Male
2,0,91,May,Sunday,U.S. Highway,Angle,No,Daylight,No/unknown,,72,Female
2,0,125,May,Tuesday,Interstate,Other,No,Daylight,No/unknown,70,57,Male
2,0,21,May,Friday,County Road,Not Col. Moving,Yes,Not Daylight,Yes,55,33,Male
3,0,163,April,Tuesday,Local Street,Angle,Yes,Daylight,No/unknown,,21,Male
1,0,161,May,Sunday,County Road,Not Col. Moving,No,Daylight,Yes,55,62,Male
2,0,121,May,Thursday,County Road,Angle,No,Daylight,No/unknown,55,27,Male
2,0,27,May,Thursday,County Road,Angle,No,Daylight,No/unknown,,53,Male
2,0,107,May,Saturday,State Highway,Angle,No,Daylight,No/unknown,55,18,Male
2,0,81,May,Sunday,County Road,Not Col. Moving,No,Daylight,No/unknown,55,42,Male
2,0,147,May,Tuesday,State Highway,Front-to-Front,No,Daylight,No/unknown,45,19,Male
2,0,161,May,Sunday,County Road,Front-to-Front,Yes,Daylight,No/unknown,55,36,Male
1,0,15,May,Wednesday,State Highway,Not Col. Moving,No,Daylight,Yes,55,41,Male
1,0,45,May,Tuesday,County Road,Not Col. Moving,Yes,Not Daylight,Yes,55,19,Male
1,0,129,May,Sunday,County Road,Not Col. Moving,No,Daylight,Yes,55,60,Female
1,0,81,May,Tuesday,Local Street,Not Col. Moving,No,Daylight,No/unknown,45,51,Male
2,0,125,May,Saturday,County Road,Angle,No,Daylight,No/unknown,45,76,Female
2,0,81,May,Saturday,County Road,Front-to-Front,No,Daylight,No/unknown,55,18,Male
1,0,149,May,Sunday,County Road,Not Col. Moving,No,Daylight,No/unknown,55,39,Male
2,0,99,May,Friday,State Highway,Angle,No,Daylight,No/unknown,45,65,Female
1,0,81,May,Wednesday,County Road,Not Col. Moving,No,Not Daylight,No/unknown,55,60,Male
2,0,155,May,Sunday,County Road,Sideswipe,No,Daylight,No/unknown,55,91,Male
1,0,125,May,Sunday,Local Street,Not Col. Moving,No,Daylight,No/unknown,25,37,Female
2,0,63,May,Friday,County Road,Angle,Yes,Daylight,No/unknown,55,29,Female
2,0,147,May,Saturday,State Highway,Front-to-Front,Yes,Daylight,No/unknown,55,71,Female
2,0,21,May,Saturday,County Road,Angle,No,Daylight,No/unknown,,55,Male
2,0,75,May,Monday,County Road,Angle,Yes,Daylight,No/unknown,,24,Male
1,1,147,May,Monday,County Road,Not Col. Moving,No,Daylight,No/unknown,45,32,Male
2,0,15,May,Monday,County Road,Front-to-Front,No,Daylight,No/unknown,55,37,Female
1,0,31,May,Monday,County Road,Not Col. Moving,Yes,Daylight,Yes,55,49,Female
1,0,161,May,Friday,Interstate,Not Col. Moving,No,Daylight,No/unknown,70,43,Male
2,0,143,May,Saturday,County Road,Front-to-Front,No,Daylight,No/unknown,55,70,Male
2,0,85,May,Saturday,County Road,Not Col. Moving,No,Daylight,No/unknown,55,52,Male
1,0,159,May,Saturday,Local Street,Not Col. Moving,Yes,Not Daylight,Yes,55,22,Male
2,0,163,May,Wednesday,Local Street,Angle,No,Daylight,Yes,,20,Male
2,0,163,May,Saturday,Local Street,Angle,No,Not Daylight,No/unknown,,19,Male
1,1,125,May,Sunday,Interstate,Not Col. Moving,Yes,Not Daylight,No/unknown,70,30,Male
1,0,25,May,Tuesday,Interstate,Not Col. Moving,No,Daylight,No/unknown,70,49,Male
1,0,21,May,Monday,County Road,Not Col. Moving,No,Daylight,No/unknown,55,53,Male
